detector,accuracy,precision,recall,f1,specificity,f1_std,sybil_rate,seed,fit_time_s,attack_model
Random Forest,0.9998,0.9994,1.0,0.9997,0.9997,0.0006,30,456,1.61,split_position
LSTM,1.0,1.0,1.0,1.0,1.0,0.0,30,456,10.79,split_position
Dynamic k-Means,1.0,1.0,1.0,1.0,1.0,0.0,30,456,0.05,split_position
IQR Speed Threshold,0.3332,0.3332,1.0,0.4999,0.0,0.0,35,456,0.04,split_position
RSU Position Verification,0.8624,0.8218,0.7495,0.784,0.9188,0.0,35,456,7.41,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,35,456,0.53,split_position
Random Forest,0.9996,0.9987,1.0,0.9994,0.9993,0.0004,35,456,1.67,split_position
LSTM,0.96,1.0,0.875,0.9333,1.0,0.0,35,456,9.56,split_position
Dynamic k-Means,0.9979,0.9938,1.0,0.9969,0.9969,0.0,35,456,0.05,split_position
IQR Speed Threshold,1.0,1.0,1.0,1.0,1.0,0.0,40,456,0.03,split_position
RSU Position Verification,0.8667,0.922,0.7233,0.8107,0.9601,0.0,40,456,7.53,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,40,456,0.6,split_position
Random Forest,0.9997,0.9992,1.0,0.9996,0.9995,0.0004,40,456,1.68,split_position
LSTM,0.963,0.9091,1.0,0.9524,0.9412,0.0,40,456,10.49,split_position
Dynamic k-Means,0.9898,0.9748,1.0,0.9873,0.9832,0.0,40,456,0.05,split_position
IQR Speed Threshold,0.0548,0.0548,1.0,0.1038,0.0,0.0,5,789,0.03,split_position
RSU Position Verification,0.9298,0.4256,0.8067,0.5572,0.9369,0.0,5,789,7.06,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,5,789,0.41,split_position
Random Forest,0.9981,0.998,0.9685,0.9822,0.9998,0.0287,5,789,1.42,split_position
LSTM,0.6111,0.0,0.0,0.0,0.6471,0.0,5,789,8.99,split_position
Dynamic k-Means,0.9988,0.9783,1.0,0.989,0.9987,0.0,5,789,0.04,split_position
IQR Speed Threshold,0.0552,0.0552,1.0,0.1046,0.0,0.0,10,789,0.08,split_position
RSU Position Verification,0.9896,1.0,0.8124,0.8965,1.0,0.0,10,789,10.27,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,10,789,0.45,split_position
Random Forest,0.9984,0.995,0.9741,0.9838,0.9997,0.0295,10,789,2.53,split_position
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,10,789,10.24,split_position
Dynamic k-Means,0.9988,0.9784,1.0,0.9891,0.9987,0.0,10,789,0.07,split_position
IQR Speed Threshold,0.1067,0.1067,1.0,0.1928,0.0,0.0,15,789,0.03,split_position
RSU Position Verification,1.0,1.0,1.0,1.0,1.0,0.0,15,789,7.37,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,15,789,0.47,split_position
Random Forest,0.9988,0.9977,0.9901,0.9938,0.9998,0.0111,15,789,2.78,split_position
LSTM,0.8421,0.0,0.0,0.0,0.9412,0.0,15,789,8.72,split_position
Dynamic k-Means,0.9793,0.9011,0.9059,0.9035,0.9881,0.0,15,789,0.04,split_position
IQR Speed Threshold,0.1988,0.1988,1.0,0.3317,0.0,0.0,20,789,0.04,split_position
RSU Position Verification,0.9443,0.7812,1.0,0.8772,0.9305,0.0,20,789,7.17,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,20,789,0.48,split_position
Random Forest,0.9999,0.9995,1.0,0.9997,0.9999,0.0005,20,789,1.64,split_position
LSTM,0.9524,1.0,0.75,0.8571,1.0,0.0,20,789,9.32,split_position
