detector,accuracy,precision,recall,f1,specificity,f1_std,sybil_rate,seed,fit_time_s
Random Forest,0.9677,0.9375,0.9762,0.9557,0.9633,0.0223,35,456,3.04
LSTM,0.8,0.7143,0.625,0.6667,0.8824,0.0,35,456,19.21
Dynamic k-Means,0.9983,0.9951,1.0,0.9975,0.9974,0.0,35,456,0.09
IQR Speed Threshold,1.0,1.0,1.0,1.0,1.0,0.0,40,456,0.04
RSU Position Verification,0.5947,0.0,0.0,0.0,1.0,0.0,40,456,10.04
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,40,456,0.7
Random Forest,0.9725,0.9539,0.9819,0.9668,0.9666,0.027,40,456,3.2
LSTM,0.6667,0.6667,0.2,0.3077,0.9412,0.0,40,456,14.52
Dynamic k-Means,0.9993,0.9984,1.0,0.9992,0.9989,0.0,40,456,0.09
IQR Speed Threshold,0.0632,0.0632,1.0,0.1189,0.0,0.0,5,789,0.05
RSU Position Verification,0.9368,0.0,0.0,0.0,1.0,0.0,5,789,8.86
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,5,789,0.44
Random Forest,0.9798,0.9363,0.7231,0.811,0.9969,0.086,5,789,2.2
LSTM,0.8333,0.0,0.0,0.0,0.8824,0.0,5,789,11.62
Dynamic k-Means,0.9987,0.9797,1.0,0.9897,0.9986,0.0,5,789,0.06
IQR Speed Threshold,0.056,0.056,1.0,0.1061,0.0,0.0,10,789,0.04
RSU Position Verification,0.9254,0.0,0.0,0.0,0.9804,0.0,10,789,8.55
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,10,789,0.45
Random Forest,0.9792,0.8592,0.7488,0.7964,0.9928,0.0806,10,789,2.12
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,10,789,16.22
Dynamic k-Means,0.9968,0.9467,1.0,0.9726,0.9967,0.0,10,789,0.07
IQR Speed Threshold,0.1084,0.1084,1.0,0.1956,0.0,0.0,15,789,0.04
RSU Position Verification,0.8916,0.0,0.0,0.0,1.0,0.0,15,789,9.47
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,15,789,0.5
Random Forest,0.961,0.8244,0.8203,0.818,0.9789,0.0998,15,789,2.08
LSTM,0.8947,0.0,0.0,0.0,1.0,0.0,15,789,13.63
Dynamic k-Means,0.9988,0.9887,1.0,0.9943,0.9986,0.0,15,789,0.21
IQR Speed Threshold,0.2061,0.2061,1.0,0.3418,0.0,0.0,20,789,0.04
RSU Position Verification,0.7939,0.0,0.0,0.0,1.0,0.0,20,789,8.71
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,20,789,0.54
Random Forest,0.9811,0.9418,0.9684,0.9547,0.9844,0.015,20,789,2.87
LSTM,0.8095,0.5,0.5,0.5,0.8824,0.0,20,789,12.24
Dynamic k-Means,0.9989,0.9946,1.0,0.9973,0.9986,0.0,20,789,0.06
IQR Speed Threshold,0.245,0.245,1.0,0.3935,0.0,0.0,25,789,0.05
RSU Position Verification,0.755,0.0,0.0,0.0,1.0,0.0,25,789,8.89
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,25,789,0.59
Random Forest,0.9784,0.9459,0.9684,0.9566,0.9819,0.0169,25,789,2.23
LSTM,0.6818,0.3333,0.4,0.3636,0.7647,0.0,25,789,11.18
Dynamic k-Means,0.9989,0.9957,1.0,0.9978,0.9986,0.0,25,789,0.06
IQR Speed Threshold,0.2872,0.2872,1.0,0.4463,0.0,0.0,30,789,0.05
RSU Position Verification,0.7128,0.0,0.0,0.0,1.0,0.0,30,789,9.23
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,30,789,0.56
Random Forest,0.9806,0.9535,0.9806,0.9665,0.9809,0.0176,30,789,2.36
LSTM,1.0,1.0,1.0,1.0,1.0,0.0,30,789,14.44
Dynamic k-Means,0.9976,0.9917,1.0,0.9958,0.9966,0.0,30,789,0.07
IQR Speed Threshold,1.0,1.0,1.0,1.0,1.0,0.0,35,789,0.04
RSU Position Verification,0.6239,0.0,0.0,0.0,1.0,0.0,35,789,12.12
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,35,789,0.62
Random Forest,0.9655,0.9328,0.9798,0.9556,0.956,0.0105,35,789,2.61
LSTM,0.96,0.8889,1.0,0.9412,0.9412,0.0,35,789,17.16
Dynamic k-Means,0.9917,0.9784,1.0,0.9891,0.9867,0.0,35,789,0.08
IQR Speed Threshold,1.0,1.0,1.0,1.0,1.0,0.0,40,789,0.04
RSU Position Verification,0.5791,0.0,0.0,0.0,1.0,0.0,40,789,8.48
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,40,789,0.66
Random Forest,0.9793,0.9629,0.9894,0.9759,0.9716,0.0106,40,789,2.71
LSTM,1.0,1.0,1.0,1.0,1.0,0.0,40,789,15.94
Dynamic k-Means,0.998,0.9954,1.0,0.9977,0.9966,0.0,40,789,0.1
IQR Speed Threshold,0.0548,0.0548,1.0,0.1038,0.0,0.0,5,1000,0.05
RSU Position Verification,0.8856,0.0,0.0,0.0,0.9369,0.0,5,1000,10.12
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,5,1000,0.47
Random Forest,0.9702,0.811,0.6273,0.7003,0.9917,0.1164,5,1000,2.99
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,5,1000,13.42
Dynamic k-Means,0.9865,0.9721,0.7756,0.8628,0.9987,0.0,5,1000,0.09
IQR Speed Threshold,0.0552,0.0552,1.0,0.1046,0.0,0.0,10,1000,0.04
RSU Position Verification,0.9448,0.0,0.0,0.0,1.0,0.0,10,1000,8.64
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,10,1000,0.48
Random Forest,0.9819,0.9287,0.7288,0.8151,0.9967,0.0805,10,1000,2.21
LSTM,0.8889,0.0,0.0,0.0,0.9412,0.0,10,1000,12.34
Dynamic k-Means,0.9988,0.9784,1.0,0.9891,0.9987,0.0,10,1000,0.06
IQR Speed Threshold,0.1067,0.1067,1.0,0.1928,0.0,0.0,15,1000,0.05
RSU Position Verification,0.8933,0.0,0.0,0.0,1.0,0.0,15,1000,9.07
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,15,1000,0.86
Random Forest,0.968,0.8654,0.8296,0.8452,0.9851,0.0763,15,1000,2.43
LSTM,0.6842,0.0,0.0,0.0,0.7647,0.0,15,1000,12.8
Dynamic k-Means,0.9988,0.9893,1.0,0.9946,0.9987,0.0,15,1000,0.09
IQR Speed Threshold,0.1988,0.1988,1.0,0.3317,0.0,0.0,20,1000,0.05
RSU Position Verification,0.7596,0.0,0.0,0.0,0.948,0.0,20,1000,9.68
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,20,1000,0.62
Random Forest,0.9792,0.923,0.979,0.9489,0.9793,0.0356,20,1000,2.28
LSTM,0.9524,1.0,0.75,0.8571,1.0,0.0,20,1000,14.33
Dynamic k-Means,0.9975,0.9876,1.0,0.9938,0.9969,0.0,20,1000,0.06
IQR Speed Threshold,0.2282,0.2282,1.0,0.3716,0.0,0.0,25,1000,0.06
RSU Position Verification,0.7524,0.0,0.0,0.0,0.9749,0.0,25,1000,9.12
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,25,1000,0.73
Random Forest,0.9778,0.9314,0.975,0.9522,0.9787,0.0245,25,1000,2.48
LSTM,0.7273,0.4286,0.6,0.5,0.7647,0.0,25,1000,25.3
Dynamic k-Means,0.9978,0.9905,1.0,0.9952,0.9972,0.0,25,1000,0.16
IQR Speed Threshold,0.2834,0.2834,1.0,0.4416,0.0,0.0,30,1000,0.1
RSU Position Verification,0.7711,1.0,0.1923,0.3225,1.0,0.0,30,1000,14.01
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,30,1000,0.65
Random Forest,0.9796,0.9512,0.9841,0.9666,0.9776,0.0253,30,1000,3.48
LSTM,0.913,0.8333,0.8333,0.8333,0.9412,0.0,30,1000,12.66
Dynamic k-Means,0.9978,0.9922,1.0,0.9961,0.9969,0.0,30,1000,0.06
IQR Speed Threshold,0.3332,0.3332,1.0,0.4999,0.0,0.0,35,1000,0.06
RSU Position Verification,0.6261,0.0,0.0,0.0,0.939,0.0,35,1000,9.42
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,35,1000,0.87
Random Forest,0.9741,0.9419,0.9855,0.9629,0.968,0.0125,35,1000,3.47
LSTM,0.92,0.875,0.875,0.875,0.9412,0.0,35,1000,17.84
Dynamic k-Means,0.9911,0.9741,1.0,0.9869,0.9867,0.0,35,1000,0.11
IQR Speed Threshold,1.0,1.0,1.0,1.0,1.0,0.0,40,1000,0.05
RSU Position Verification,0.6055,0.0,0.0,0.0,1.0,0.0,40,1000,10.71
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,40,1000,0.76
Random Forest,0.9739,0.9502,0.9869,0.968,0.9651,0.0116,40,1000,3.43
LSTM,0.963,0.9091,1.0,0.9524,0.9412,0.0,40,1000,18.14
Dynamic k-Means,0.9898,0.9748,1.0,0.9873,0.9832,0.0,40,1000,0.06
